Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Gradual,2.5142857142857142,0.8091787439613527,1.0,0.9927536231884058,0.6713595583160801,0.1378191856452726,0.07198067632850241,0.11884057971014492,0.9924890815388536,0.31282890775162947,0.7251897406787495,0.5140490124383917
1,Remorseful Prober: 0.1,2.4761904761904763,0.6154589371980677,5.0,0.991304347826087,0.47232574189095927,0.14313319530710833,0.17094547964113183,0.21359558316080057,0.9041417144801451,0.027416297092087198,0.8987850235039746,0.3172292703464737
2,"BackStabber: ('D', 'D')",2.461904761904762,0.655624568668047,7.0,0.9942028985507246,0.5590062111801243,0.09661835748792272,0.10966183574879226,0.23471359558316082,0.9611163896757503,0.8141035859652226,0.09820785764204885,0.015692877240743138
3,Hard Tit For Tat,2.452380952380952,0.5322981366459627,4.0,0.9971014492753624,0.49268461007591446,0.03961352657004831,0.12553485162180814,0.3421670117322291,0.978949503812004,0.014463627507105769,0.20977614752738238,0.009160327035049013
4,Win-Stay Lose-Shift: C,2.4095238095238094,0.7073153899240856,2.0,0.9927536231884058,0.5320220841959972,0.17529330572808835,0.13091787439613528,0.16176673567977917,0.9936072016608783,0.019709052309553415,0.010140632447619398,0.9937229787254822
5,Defector,2.3857142857142857,0.008350586611456177,10.0,0.008695652173913044,0.002967563837129054,0.005383022774327123,0.34596273291925467,0.6456866804692891,0,0,0.009082701610192112,0.008409345701582027
6,Prober,2.2904761904761903,0.35210489993098687,3.0,0.004347826086956522,0.18592132505175984,0.16618357487922708,0.27267080745341615,0.375224292615597,0.8563520873925718,0.3719671013213575,0.7089074441986276,0.05413063637265186
7,Alternator,2.2904761904761903,0.5202208419599724,3.0,0.991304347826087,0.21911663216011049,0.30110420979986197,0.28902691511387163,0.19075224292615595,0.01075074939377983,0.010374006238341352,0.9924951850785803,0.9939253099333882
8,Tit For 2 Tats,2.261904761904762,0.797239475500345,0.0,0.9942028985507246,0.6503795721187025,0.14685990338164248,0.021532091097308484,0.1812284334023464,0.9931203894619829,0.7894942956758692,0.999375,0.3413657556063044
9,Random: 0.5,2.2333333333333334,0.4928226363008972,5.0,0.4826086956521739,0.24416839199447898,0.24865424430641822,0.24361628709454802,0.26356107660455486,0.48762821167894055,0.4848098199304377,0.4883852961812215,0.5077094854233544
10,Cooperator,2.0571428571428574,0.9927536231884058,0.0,0.9855072463768116,0.6666666666666666,0.3260869565217391,0.004899930986887509,0.002346445824706694,0.9937810035816511,0.9855278159407753,0.9841269841269842,1.0
