Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Defector,2.6752020202020206,0.33345082833979556,6.0,0.3176470588235294,0.18468816042284356,0.14914228543718352,0.33281355694284603,0.3333559971971269,0.3539824474732193,0.3158954008954009,0.3120071950622993,0.3527396342400911
1,Alternator,2.4135714285714283,0.5279130760584488,3.0,0.7137254901960784,0.2712248468100714,0.25847821258108467,0.2540423974064434,0.21625454320240048,0.3075366986294129,0.2956817733580822,0.7037542983671252,0.6730512712509504
2,Prober,2.4045454545454548,0.4655714785040196,4.0,0.3156862745098039,0.24303502289613896,0.22409281282083504,0.26601256522632866,0.2668595990566973,0.6166059606490072,0.39036252710985087,0.5813410643922442,0.4280155426347886
3,Random: 0.5,2.3880952380952385,0.5033321641529288,4.0,0.4843137254901961,0.2732306432148287,0.2289174926366903,0.2475805849780972,0.2502712791703837,0.4879191164807941,0.5222545886250891,0.5395348546802036,0.4911511591609717
4,Hard Tit For Tat,2.3708333333333336,0.46277961129446277,4.0,0.696078431372549,0.2595153404890489,0.20649190815803534,0.282218548841329,0.2517742025115866,0.5434463987505032,0.3276168294724921,0.4395160592614772,0.2821004984762647
5,Remorseful Prober: 0.1,2.313923288613691,0.5219818562456385,3.0,0.6784313725490196,0.27475300622843174,0.24567754684506227,0.23727080609304255,0.24229864083346345,0.6640973129622325,0.29191443541244233,0.6343897426636131,0.3771115709792726
6,Gradual,2.2858771929824564,0.5772846934937946,3.0,0.696078431372549,0.3163210282474835,0.2640007366553606,0.21412612682959872,0.2055521082675571,0.6711445028950292,0.423592340964294,0.6134289980874508,0.4703239142138739
7,"BackStabber: ('D', 'D')",2.2738095238095237,0.6033478893740902,2.0,0.6470588235294118,0.32984571611514746,0.2721487154472594,0.2084752816942736,0.18953028674331968,0.6373377943536921,0.6183259832666104,0.5641470588235294,0.5037898181312815
8,Win-Stay Lose-Shift: C,2.259436090225564,0.5279437609841828,3.0,0.6764705882352942,0.27092790548249324,0.25579237966624707,0.24331084648005863,0.22996886837120112,0.6644627862815271,0.3368282054624683,0.2951792284384519,0.675507041756506
9,Cooperator,2.210445632798574,0.6585903083700441,2.0,0.692156862745098,0.3702626531769554,0.2890873239228552,0.18290859564245104,0.15774142725773838,0.6495119396435868,0.6342694846093403,0.6753111424564576,0.6590082731418561
10,Tit For 2 Tats,2.2064393939393936,0.6183282980866063,2.0,0.7058823529411765,0.3386922178087964,0.279516516457032,0.2045866204931764,0.17720464524099522,0.6508848103123732,0.562542294174943,0.6751355176524747,0.48368314994224065
