Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Defector,3.8666666666666663,0.0,8.0,0.0,0.0,0.0,0.6434022803477087,0.35659771965229126,0,0,0,0
1,Suspicious Tit For Tat,3.7,0.18115279048490393,7.0,0.0,0.03162737041719342,0.14678682851816624,0.6263889970718962,0.19519680399274425,1.0,0,1.0,0
2,Prober,3.7,0.26175115207373273,6.0,0.0,0.06108612908672624,0.19876132880700675,0.5807538121537791,0.15939872995248802,0.9,0.8957070707070707,1.0,1.0
3,Hard Tit For Tat,2.3,0.895644283121597,0.0,1.0,0.6970588235294116,0.20595679638232617,0.05020980015646113,0.046774579931800904,1.0,0,0,0
4,Remorseful Prober: 0.1,2.3,0.9018518518518519,0.0,1.0,0.6827870098842439,0.22078617605375137,0.0686977692276968,0.027729044834307992,0.8879078193171146,0,0.9666666666666668,1.0
5,Grudger,2.275,0.9114963503649635,0.0,1.0,0.6962616822429908,0.21699136569574543,0.05057216966737871,0.03617478239388524,1.0,0,0,0
6,Tit For Tat,2.2666666666666666,0.9222941720629048,0.0,1.0,0.7000000000000001,0.2241155778145449,0.045182667799490234,0.030701754385964918,1.0,0,1.0,0
7,Gradual,2.15,0.9426751592356688,0.0,1.0,0.7004672882701803,0.24015873174940397,0.04014321074964639,0.01923076923076923,1.0,0.04304029304029304,1.0,1.0
8,Forgiving Tit For Tat,2.15,0.9384328358208955,0.0,1.0,0.7035487110813525,0.23442631193007393,0.037986515450111995,0.02403846153846154,1.0,0,1.0,0
9,Win-Stay Lose-Shift: C,2.1333333333333337,0.9388127853881278,0.0,1.0,0.6990476190476189,0.237050786390409,0.04006734006734006,0.023834254494631852,1.0,0,0,1.0
10,"BackStabber: ('D', 'D')",2.1,1.0,0.0,1.0,0.7416293406499186,0.25837065935008147,0.0,0.0,1.0,1.0,0,0
