Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Gradual,2.7195945945945943,0.8636448948948949,1.0,1.0,0.8105292792792793,0.05311561561561562,0.03791291291291292,0.0984421921921922,1.0,0.44480994152046777,0.5998677248677249,0.24442988204456093
1,Tit For Tat,2.7021396396396398,0.7975788288288288,0.0,1.0,0.6777402402402402,0.1198385885885886,0.11599099099099101,0.08643018018018019,1.0,0,1.0,0
2,Forgiving Tit For Tat,2.694256756756757,0.8035848348348348,0.0,1.0,0.6861861861861862,0.11739864864864867,0.11092342342342343,0.08549174174174175,1.0,0.5258064516129032,1.0,0
3,"BackStabber: ('D', 'D')",2.6024774774774775,0.7252252252252253,8.0,1.0,0.7063626126126126,0.018862612612612614,0.04954954954954954,0.22522522522522526,0.9895536061029019,0.8055555555555556,0,0
4,Tit For 2 Tats,2.5061936936936937,0.8406531531531531,0.0,1.0,0.7813438438438439,0.059309309309309305,0.0005630630630630632,0.15878378378378383,1.0,0.8498751560549315,1.0,0
5,Win-Stay Lose-Shift: C,2.4881756756756754,0.7666103603603603,0.0,1.0,0.6250938438438439,0.1415165165165165,0.09581456456456458,0.1375750750750751,1.0,0,0,1.0
6,Grudger,2.3536036036036037,0.5990990990990991,2.0,1.0,0.5923423423423423,0.006756756756756757,0.04504504504504505,0.35585585585585583,1.0,0,0,0
7,Hard Tit For Tat,2.3468468468468466,0.5950638138138138,2.0,1.0,0.5883070570570571,0.006756756756756757,0.04504504504504505,0.3598911411411412,1.0,0,0,0
8,Suspicious Tit For Tat,2.2545045045045047,0.5207394894894894,3.0,0.0,0.3231981981981982,0.1975412912912913,0.20129504504504506,0.27796546546546547,1.0,0,1.0,0
9,Remorseful Prober: 0.1,2.2359234234234235,0.4767267267267267,6.0,1.0,0.2766516516516516,0.20007507507507508,0.2190315315315315,0.3042417417417417,0.891944124207534,0,0.9065436836608459,0.5727458814631721
10,Prober,2.02759009009009,0.45645645645645644,2.0,0.0,0.34046546546546547,0.11599099099099097,0.1161786786786787,0.42736486486486486,0.875,0.5600744810744811,0.8583333333333334,0.5070422535211268
11,Alternator,1.9318693693693691,0.5,6.0,1.0,0.09102852852852851,0.40897147147147145,0.28941441441441446,0.2105855855855856,0,0,1.0,1.0
12,Defector,1.4774774774774775,0.0,11.0,0.0,0.0,0.0,0.11936936936936937,0.8806306306306306,0,0,0,0
